Miltal,Modellår,Biltyp,Drivning,Hästkrafter,Färg,Märke,Modell,Län,Pris (Y),,,
1491,2022,halvkombi,2,204,grå,hyundai,kona,Kronoberg,349800,,Umut,VW
9800,2019,sedan,2,120,svart,hyundai,ioniq,Göteborg,144000,,Kamila,BMW
6729,2020,suv,4,408,svart,audi,e-tron,Skåne,528900,,Kicki,Tesla - Kia
1270,2022,suv,2,136,röd,hyundai,kona,Uppsala,259900,,Leonardo,Ford
11748,2020,halvkombi,2,136,[blå],hyundai,ioniq,Örebro,209800,,Matt,Audi - Hyundai
4355,2020,suv,4,408,svart,audi,e-tron,Malmö,548900,,Quan,Nissan
6400,2022,suv,2,204,blå,hyundai,kona,Örebro,319800,,Ali,MG
7400,2020,suv,2,204,grå,hyundai,kona,Örebro,274800,,,44 var
4998,2020,suv,2,204,grå,hyundai,kona,Örebro,289800,,,396  observationer
3525,2020,suv,2,204,röd,hyundai,kona,Örebro,289800,,,
3990,2023,sedan,4,476,svart,audi,e-tron,karlskrona,867000,,,
9975,2019,suv,2,204,[mörkgrå],hyundai,kona,karlskrona,237000,,,
4045,2022,suv,4,300,grå,audi,q4,vimmerby,549900,,,
5100,2021,sedan,2,218,grå,hyundai,ioniq,skövde,459900,,,
9100,2022,suv,2,218,svart,hyundai,ioniq,värnamo,419900,,,
4073,2021,suv,4,408,grå,audi,e-tron,stockholm,534900,,,
4277,2022,suv,2,204,blå,audi,q4,järfälla,478900,,,
10500,2019,suv,4,408,svart,audi,e-tron,malmö,409800,,,
3520,2021,suv,4,504,svart,audi,e-tron,Göteborg,719800,,,
9162,2019,suv,4,408,svart,audi,e-tron,stockholm,425900,,,
3977,2022,suv,4,408,grå,audi,e-tron,stockholm,626900,,,
3411,2022,suv,2,204,brun,hyundai,kona,stockholm,343900,,,
2289,2022,suv,2,218,grön,hyundai,ioniq,stockholm,439900,,,
2732,2022,suv,2,170,svart,audi,q4,stockholm,386900,,,
5483,2021,suv,4,408,svart,audi,e-tron,stockholm,494900,,,
1638,2022,suv,2,170,grå,audi,q4,stockholm,391900,,,
3550,2021,suv,4,408,svart,audi,e-tron,stockholm,497900,,,
9188,2019,suv,4,408,grå,audi,e-tron,stockholm,384900,,,
7466,2019,halvkombi,2,120,[ljusgrå],hyundai,ioniq,stockholm,185900,,,
7735,2020,halvkombi,2,136,[vit],hyundai,ioniq,stockholm,208900,,,
7417,2020,suv,4,408,svart,audi,e-tron,stockholm,414900,,,
5425,2022,suv,4,408,blå,audi,e-tron,stockholm,620900,,,
7052,2021,suv,4,408,grå,audi,e-tron,stockholm,503900,,,
2941,2022,suv,4,408,vit,audi,e-tron,stockholm,628900,,,
5244,2020,suv,4,408,svart,audi,e-tron,stockholm,433900,,,
5110,2020,suv,2,136,vit,hyundai,kona,stockholm,199900,,,
3478,2022,suv,4,408,grå,audi,e-tron,stockholm,624900,,,
5244,2022,suv,4,300,svart,audi,q4,stockholm,504900,,,
7367,2022,suv,4,408,grå,audi,e-tron,stockholm,583900,,,
2998,2023,suv,2,204,grå,audi,q4,stockholm,474900,,,
4373,2021,suv,4,504,silver,audi,e-tron,stockholm,692900,,,
1950,2022,suv,2,204,svart,hyundai,kona,vimmerby,379900,,,
4232,2020,halvkombi,2,136,[red],hyundai,ioniq,österåker,200000,,,
8826,2020,suv,4,408,grå,audi,e-tron,stockholm,479900,,,
4000,2019,halvkombi,2,120,grå,hyundai,ioniq,örebro,199800,,,
4200,2021,halvkombi,2,150,Svart,Nissan,Leaf,Skåne,189 000,,,
7880,2022,halvkombi,2,218,Vit,Nissan,Leaf,Örebro,279 800,,,
610,2023,halvkombi,2,150,mörkblå,Nissan,Leaf,Jönköping,298 800,,,
1500,2023,halvkombi,2,150,Vit,Nissan,Leaf,Västra Götaland,309 900,,,
673,2022,halvkombi,2,150,Vit,Nissan,Leaf,Östergötland,219 900,,,
8227,214,halvkombi,2,109,Silver,Nissan,Leaf,Gotland,109 800,,,
605,2023,halvkombi,2,150,mörkblå,Nissan,Leaf,Kronoberg,259 800,,,
800,2022,halvkombi,2,150,mörkblå,Nissan,Leaf,Halland,279 800,,,
3300,2022,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,184 900,,,
6600,2019,halvkombi,2,150,Vit,Nissan,Leaf,Norrbotten,179 900,,,
11333,2017,halvkombi,2,109,Vit,Nissan,Leaf,Skåne,120 000,,,
14821,2018,halvkombi,2,150,Röd,Nissan,Leaf,Västmanland,159 700,,,
1528,2022,halvkombi,2,150,Grå,Nissan,Leaf,Stockholm,238 900,,,
3234,2021,halvkombi,2,150,Vit,Nissan,Leaf,Östergötland,198 900,,,
5892,2019,halvkombi,2,150,Vit,Nissan,Leaf,Skåne,197 800,,,
8491,2021,halvkombi,2,218,Röd,Nissan,Leaf,Stockholm,217 900,,,
8323,2018,halvkombi,2,150,Röd,Nissan,Leaf,Stockholm,159 900,,,
2149,2022,halvkombi,2,150,Ljusgrå,Nissan,Leaf,Stockholm,210 900,,,
8043,2021,halvkombi,2,218,Grå,Nissan,Leaf,Stockholm,221 900,,,
2826,2022,halvkombi,2,150,Röd,Nissan,Leaf,Stockholm,205 900,,,
2741,2022,halvkombi,2,150,Grå,Nissan,Leaf,Stockholm,205 900,,,
7385,2019,halvkombi,2,150,Ljusgrön,Nissan,Leaf,Stockholm,184 900,,,
4109,2022,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,189 900,,,
3158,2022,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,199 900,,,
3986,2021,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,181 900,,,
4085,2021,halvkombi,2,150,Röd,Nissan,Leaf,Stockholm,185 900,,,
1927,2022,halvkombi,2,218,Grå,Nissan,Leaf,Stockholm,290 900,,,
3998,2021,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,181 900,,,
3041,2021,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,178 900,,,
1504,2022,halvkombi,2,218,Grå,Nissan,Leaf,Stockholm,288 900,,,
6106,2019,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,176 900,,,
2720,2020,halvkombi,2,150,Brun,Nissan,Leaf,Jönköping,239 900,,,
15536,2020,halvkombi,2,218,Mörkgrå,Nissan,Leaf,Stockholm,199 900,,,
4468,2021,halvkombi,2,150,Svart,Nissan,Leaf,Kalmar,245 000,,,
9650,2016,halvkombi,2,109,Svart,Nissan,Leaf,Västra Götaland,128 800,,,
2570,2022,halvkombi,2,150,Ljusgrå,Nissan,Leaf,Stockholm,214 900,,,
2723,2016,halvkombi,2,109,Brun,Nissan,Leaf,Halland,129 000,,,
2027,2020,halvkombi,2,150,Röd,Nissan,Leaf,Skåne,199 900,,,
567,2023,SUV,2,221,Mörkgrön,Nissan,Ariya,Västerbotten,499 900,,,
5310,2020,halvkombi,2,218,Vit,Nissan,Leaf,Jönköping,254 900,,,
2955,2022,halvkombi,2,150,Vit,Nissan,Leaf,Nordvästra Södermanland,209 000,,,
2078,2023,SUV,2,243,Svart,Nissan,Ariya,Stockholm,499 900,,,
3440,2021,halvkombi,2,150,Röd,Nissan,Leaf,Dalarna,209 900,,,
700,2023,SUV,2,243,Ljusgrå,Nissan,Ariya,Kalmar,599 900,,,
950,2023,SUV,2,243,Blå,Nissan,Ariya,Jönköping,579 800,,,
4990,2020,suv,4,313,grå,audi,e-tron,linköping,415900,,,
9208,2020,suv,4,313,svart,audi,e-tron,Stockholm,354900,,,
5326,2022,suv,4,408,Silver,audi,e-tron,Stockholm,594900,,,
3438,2020,suv,4,408,blå,audi,e-tron,Göteborg,589800,,,
4937,2020,suv,4,313,svart,audi,e-tron,Göteborg,399800,,,
500,2023,sedan,2,,röd,hyundai,ioniq,Jönköping,589900,,,
900,2023,sedan,4,,grå,hyundai,ioniq,Jönköping,609900,,,
7200,2019,halvkombi,2,204,orange,hyundai,kona,Jönköping,259900,,,
7213,2018,halvkombi,2,120,mörkblå,hyundai,ioniq,knivsta,169400,,,
2133,2021,halvkombi,2,204,vit,hyundai,kona,växjö,329800,,,
8649,2017,halvkombi,2,120,Silver,hyundai,ioniq,Stockholm,177900,,,
2952,2019,halvkombi,2,120,Silver,hyundai,ioniq,trollhättan,184000,,,
2070,2021,halvkombi,2,204,röd,hyundai,kona,Kalmar,334900,,,
6900,2020,suv,2,204,vit,hyundai,kona,värnamo,269900,,,
4500,2020,suv,4,313,svart,audi,e-tron,skövde,439000,,,
8897,2022,suv,2,218,vit,hyundai,ioniq,växjö,419900,,,
1554,2023,suv,2,204,grå,audi,q4,hörby,549000,,,
4000,2021,halvkombi,2,218,grå,hyundai,ioniq,Jönköping,459800,,,
1700,2023,sedan,4,,vit,hyundai,ioniq,nässjö,599900,,,
588,2023,suv,2,229,grön,hyundai,ioniq,kungälv,549900,,,
5937,2020,halvkombi,2,136,[grå],hyundai,ioniq,norrköping,229000,,,
1600,2023,sedan,4,,blå,hyundai,ioniq,örebro,609900,,,
1600,2023,sedan,4,,blå,hyundai,ioniq,örebro,599900,,,
1900,2023,suv,4,,grå,hyundai,ioniq,örebro,548900,,,
700,2024,suv,2,218,grå,hyundai,kona,nässjö,595200,,,
1000,2023,sedan,4,,svart,hyundai,ioniq,nässjö,660700,,,
2600,2019,halvkombi,2,120,vit,hyundai,ioniq,karlskrona,219900,,,
2600,2021,suv,4,408,röd,audi,e-tron,tranemo,619000,,,
5656,2019,halvkombi,2,120,[blå],hyundai,ioniq,lund,184500,,,
10283,2020,halvkombi,2,138,[vit],hyundai,ioniq,lidköping,219900,,,
10895,2021,suv,4,408,svart,audi,e-tron,karlstad,439500,,,
500,2023,sedan,2,,svart,hyundai,ioniq,värnamo,639800,,,
800,2024,suv,2,218,grå,hyundai,kona,vimmerby,569900,,,
1400,2023,suv,4,300,svart,audi,q4,borås,605000,,,
2990,2023,sedan,4,,grå,hyundai,ioniq,skövde,634900,,,
600,2023,halvkombi,4,[103.8],grå,hyundai,ioniq,skövde,619900,,,
3730,2020,suv,4,408,svart,audi,e-tron,karlstad,459500,,,
600,2024,sedan,4,77.4kwh,blå,hyundai,ioniq,vimmerby,639800,,,
1000,2023,sedan,4,77.4kwh,vit,hyundai,ioniq,Kalmar,599900,,,
1350,2023,sedan,4,77.4kwh,blå,hyundai,ioniq,vetlanda,599900,,,
500,2024,suv,2,218,grå,hyundai,kona,växjö,595200,,,
1290,2023,sedan,4,77.4kwh,vit,hyundai,ioniq,Jönköping,609900,,,
9900,2020,suv,2,204,vit,hyundai,kona,skövde,259900,,,
800,2024,suv,2,218,vit,hyundai,kona,skövde,549900,,,
1500,2023,sedan,4,77.4kwh,blå,hyundai,ioniq,skövde,599900,,,
800,2023,suv,2,77.4kwh,gul,hyundai,ioniq,karlskrona,639800,,,
600,2023,halvkombi,4,77.4kwh,grå,hyundai,ioniq,växjö,599900,,,
850,2023,sedan,4,77.4kwh,blå,hyundai,ioniq,karlskrona,599900,,,
3000,2020,halvkombi,2,120,[vit],hyundai,ioniq,kristianstad,229900,,,