"Miltal","Modellår","Biltyp","Drivning","Hästkrafter","Färg","Märke","Modell","Län","Pris..Y."
5200,2022,"sedan",4,498,"blå","tesla","3","kalmar",459700
3899,2020,"sedan",4,510,"vit","tesla","3","skåne",410900
5620,2021,"sedan",4,513,"grå","tesla","3","stockholm",428900
7308,2019,"sedan",4,476,"röd","tesla","3","stockholm",344900
8589,2021,"sedan",4,441,"vit","tesla","3","stockholm",374800
5321,2021,"sedan",4,498,"vit","tesla","3","stockholm",406900
11524,2015,"halvkombi",4,423,"röd","tesla","s","västra götaland",318900
17069,2019,"halvkombi",4,762,"grå","tesla","s","västra götaland",500000
16454,2015,"sedan",4,334,"vit","tesla","s","västra götaland",259900
10823,2016,"halvkombi",4,423,"svart","tesla","s","västra götaland",439900
15949,2016,"suv",4,540,"vit","tesla","x","västra götaland",459900
15288,2015,"halvkombi",4,334,"svart","tesla","s","västra götaland",269900
2933,2020,"sedan",4,441,"svart","tesla","3","halland",409900
2499,2021,"sedan",4,330,"vit","tesla","3","västra götaland",387800
15024,2015,"halvkombi",4,512,"grå","tesla","s","västra götaland",375000
7710,2019,"sedan",4,463,"blå","tesla","3","västra götaland",349900
5718,2021,"sedan",4,513,"vit","tesla","3","skåne",499900
8898,2017,"suv",4,423,"vit","tesla","x","skåne",499900
13400,2016,"halvkombi",4,320,"vit","tesla","s","skåne",319900
1000,2022,"suv",4,346,"grå","tesla","y","skåne",509900
7995,2020,"halvkombi",4,512,"grå","tesla","s","skåne",579900
9997,2020,"sedan",4,441,"vit","tesla","3","skåne",349900
6998,2020,"halvkombi",4,815,"vit","tesla","s","skåne",899900
8998,2017,"suv",4,525,"grå","tesla","x","skåne",699900
3798,2019,"halvkombi",4,772,"svart","tesla","s","skåne",849900
3298,2020,"sedan",4,513,"vit","tesla","3","skåne",519900
13100,2018,"halvkombi",4,334,"vit","tesla","s","södermanland",390000
9198,2020,"sedan",4,259,"röd","tesla","3","södermanland",319900
6906,2018,"halvkombi",4,525,"svart","tesla","s","uppsala",399900
3163,2022,"suv",4,346,"vit","tesla","y","uppsala",589700
1600,2023,"suv",4,300,"vit","tesla","y","västmanland",506000
5800,2022,"sedan",4,513,"vit","tesla","3","västmanland",469000
3451,2021,"sedan",4,325,"vit","tesla","3","stockholm",362900
5866,2021,"sedan",4,498,"vit","tesla","3","stockholm",402900
5045,2021,"suv",4,514,"blå","tesla","y","stockholm",489900
2357,2021,"suv",4,514,"vit","tesla","y","stockholm",491900
7740,2021,"suv",4,346,"vit","tesla","y","stockholm",483900
3713,2019,"sedan",4,441,"blå","tesla","3","stockholm",376900
1605,2023,"suv",2,204,"svart","kia","niro","stockholm",388900
4550,2020,"suv",2,204,"vit","kia","niro","stockholm",299000
1100,2023,"suv",2,239,"grå","kia","ev6","skåne",529000
934,2022,"suv",2,325,"vit","kia","ev6","skåne",559000
4385,2020,"suv",2,204,"vit","kia","niro","stockholm",298900
2401,2023,"suv",2,325,"grå","kia","ev6","västernorrland",579900
777,2023,"suv",2,229,"svart","kia","ev6","kronoberg",625300
5434,2019,"suv",2,204,"grå","kia","niro","stockholm",281900
4394,2022,"suv",4,325,"svart","kia","ev6","stockholm",501900
5004,2022,"suv",2,218,"grå","kia","ev6","stockholm",451900
3032,2022,"suv",4,325,"svart","kia","ev6","stockholm",510900
7387,2019,"suv",2,204,"svart","kia","niro","stockholm",258900
2991,2023,"suv",4,325,"blå","kia","ev6","stockholm",519900
1849,2023,"suv",4,325,"röd","kia","ev6","stockholm",558900
8908,2022,"suv",4,325,"svart","kia","ev6","stockholm",476900
7647,2021,"suv",2,204,"vit","kia","soul","västra götaland",259900
1570,2022,"suv",2,204,"vit","kia","ev6","södermanland",334800
11800,2015,"suv",2,136,"vit","kia","soul","västra götaland",110000
5165,2022,"suv",4,325,"blå","kia","ev6","stockholm",517900
3590,2021,"suv",2,204,"svart","kia","niro","stockholm",320900
3537,2022,"suv",4,325,"svart","kia","ev6","stockholm",534900
12900,2019,"suv",2,204,"grå","kia","niro","stockholm",239900
1650,2023,"suv",2,204,"grå","kia","niro","skåne",389000
5000,2021,"suv",2,204,"vit","kia","niro","skåne",309000
1400,2023,"suv",2,229,"grå","kia","ev6","skåne",499000
5848,2021,"suv",2,204,"svart","kia","niro","västra götaland",299000
1155,2024,"suv",4,385,"vit","kia","ev9","västerbotten",809900
520,2023,"suv",4,585,"röd","kia","ev6","skåne",649000
4033,2019,"suv",2,111,"vit","kia","soul","västra götaland",165000
13237,2016,"suv",2,136,"vit","kia","soul","östergötland",139900
3900,2023,"suv",2,204,"vit","kia","niro","skåne",385000
4780,2021,"suv",2,204,"röd","kia","ev6","dalarna",529000
800,2024,"suv",4,385,"svart","kia","ev9","skåne",799000
2690,2021,"suv",2,204,"grå","kia","niro","skåne",339000
5412,2021,"suv",2,204,"grå","kia","soul","skåne",279900
2000,2023,"suv",4,325,"vit","kia","ev6","skåne",579000
6032,2020,"suv",2,204,"svart","kia","niro","västra götaland",279000
1100,2024,"suv",4,385,"blå","kia","ev9","västra götaland",839000
6140,2020,"suv",2,204,"svart","kia","niro","skåne",279000
1000,2024,"suv",4,325,"vit","kia","ev6","västra götaland",638400
500,2024,"suv",4,385,"grå","kia","ev9","västra götaland",819000
5721,2020,"suv",2,204,"röd","kia","soul","norrbotten",289900
6036,2021,"suv",2,204,"svart","kia","niro","örebro",315800
2925,2023,"suv",4,325,"vit","kia","ev6","västra götaland",569000
1500,2022,"kombi",2,177,"grå","mg","5","kalmar",334900
4380,2021,"suv",4,289,"svart","mg","r","blekinge",359800
3609,2021,"suv",2,143,"röd","mg","zs","jönköping",219400
1127,2022,"kombi",2,177,"grå","mg","5","västra götaland",309900
3579,2020,"suv",2,143,"svart","mg","zs","jönköping",219900
3920,2021,"suv",2,157,"vit","mg","zs","kalmar",299800
4180,2022,"suv",2,180,"svart","mg","r","stockholm",329900
3129,2021,"suv",2,143,"blå","mg","zs","stockholm",209900
1650,2020,"sedan",2,143,"svart","mg","zs","jönköping",219900
1329,2022,"suv",4,289,"svart","mg","r","södermanland",359800
1100,2021,"kombi",2,157,"svart","mg","5","östergötland",269900
730,2022,"suv",2,180,"vit","mg","marvel","jönköping",389900
2190,2021,"suv",2,143,"vit","mg","zs","blekinge",219800
1766,2022,"suv",4,289,"vit","mg","r","kronoberg",389900
2896,2022,"kombi",2,157,"vit","mg","5","kalmar",334800
500,2022,"suv",2,157,"svart","mg","zs","södermanland",319900
2716,2022,"suv",2,157,"svart","mg","zs","kronoberg",294800
2148,2021,"suv",2,143,"röd","mg","zs","kronoberg",214800
3694,2022,"suv",2,157,"grå","mg","zs","kronoberg",294800
1000,2022,"sedan",2,177,"vit","mg","5","jönköping",309900
1600,2022,"suv",4,289,"vit","mg","r","jönköping",457900
1295,2022,"suv",2,157,"vit","mg","zs","dalarna",289900
1940,2022,"suv",2,180,"grå","mg","r","västmanland",369900
2650,2022,"kombi",2,177,"röd","mg","5","västra götaland",311750
500,2022,"kombi",2,157,"röd","mg","5","kalmar",329900
2336,2022,"kombi",2,177,"svart","mg","5","jönköping",279800
700,2023,"halvkombi",4,436,"grön","mg","4","kronoberg",437000
500,2022,"suv",2,180,"vit","mg","r","östergötland",399900
500,2022,"kombi",2,177,"grå","mg","5","blekinge",344500
950,2022,"halvkombi",2,204,"svart","mg","4","södermanland",339800
950,2022,"suv",2,157,"vit","mg","zs","södermanland",334800
2500,2022,"kombi",2,157,"svart","mg","5","kalmar",339900
950,2022,"suv",2,157,"vit","mg","zs","södermanland",334800
900,2022,"kombi",2,157,"röd","mg","5","östergötland",289900
4331,2021,"suv",2,191,"vit","mb","eqa","stockholm",408900
7695,2020,"suv",4,408,"grå","mb","eqc","stockholm",473900
6531,2021,"suv",2,191,"vit","mb","eqa","stockholm",434900
1280,2022,"suv",4,229,"mörkgrå","mb","eqa","stockholm",474900
4919,2020,"suv",4,408,"röd","mb","eqc","stockholm",494900
1650,2022,"suv",4,229,"röd","mb","eqb","kalmar",549900
2100,2021,"suv",4,408,"grå","mb","eqc","stockholm",548900
3900,2023,"sedan",2,293,"svart","mb","eqe","kalmar",659000
7629,2022,"suv",2,191,"mörkgrå","mb","eqa","stockholm",434900
1320,2023,"sedan",2,245,"grå","mb","eqe","kalmar",659000
840,2022,"suv",2,301,"svart","ford","mustang","södermanland",499000
3600,2021,"halvkombi",2,301,"blå","ford","mustang","jönköping",438800
1525,2022,"sedan",2,301,"svart","ford","mustang","jönköping",679800
1086,2022,"suv",2,301,"grå","ford","mustang","östergötland",499900
1445,2022,"sedan",2,301,"vit","ford","mustang","östergötland",499900
1097,2022,"sedan",2,301,"röd","ford","mustang","östergötland",499900
1120,2022,"halvkombi",4,372,"grå","ford","mustang","jönköping",499900
1390,2022,"halvkombi",2,301,"svart","ford","mustang","jönköping",499900
780,2022,"halvkombi",2,301,"svart","ford","mustang","jönköping",499900
1660,2022,"halvkombi",2,301,"grå","ford","mustang","jönköping",499900
614,2022,"sedan",2,301,"grå","ford","mustang","jönköping",499900
5600,2021,"suv",4,372,"grå","ford","mustang","östergötland",499900
5421,2022,"suv",4,351,"svart","ford","mustang","stockholm",489900
9335,2021,"suv",2,294,"blå","ford","mustang","stockholm",399900
1150,2022,"halvkombi",2,301,"svart","ford","mustang","jönköping",524000
5265,2021,"suv",4,372,"röd","ford","mustang","stockholm",479900
2180,2022,"halvkombi",2,301,"röd","ford","mustang","jönköping",699900
1000,2022,"suv",2,301,"svart","ford","mustang","jönköping",509000
4459,2021,"suv",4,372,"vit","ford","mustang","södermanland",519800
3000,2021,"suv",4,270,"grå","ford","mustang","västmanland",419000
2547,2022,"sedan",2,301,"röd","ford","mustang","jönköping",499900
1170,2022,"suv",2,301,"vit","ford","mustang","örebro",499900
1500,2022,"suv",2,297,"svart","ford","mustang","västra götaland",539900
1600,2022,"suv",2,298,"svart","ford","mustang","västra götaland",539900
1366,2022,"suv",2,298,"grå","ford","mustang","västra götaland",539900
1100,2023,"suv",4,374,"svart","ford","mustang","örebro",649800
3117,2023,"suv",2,301,"blå","ford","mustang","kronoberg",578700
1809,2022,"sedan",2,301,"grå","ford","mustang","jönköping",499900
1000,2022,"suv",2,301,"svart","ford","mustang","jönköping",599900
956,2022,"halvkombi",2,301,"grå","ford","mustang","kronoberg",499900
1220,2022,"halvkombi",2,301,"vit","ford","mustang","jönköping",499900
3300,2022,"suv",2,301,"blå","ford","mustang","jönköping",529700
1236,2022,"sedan",2,301,"svart","ford","mustang","östergötland",499900
600,2022,"suv",4,372,"röd","ford","mustang","kalmar",805700
2200,2022,"suv",2,301,"grå","ford","mustang","södermanland",770700
2400,2022,"suv",2,301,"blå","ford","mustang","östergötland",551900
1244,2022,"suv",2,301,"röd","ford","mustang","jönköping",499900
1547,2022,"suv",2,298,"grå","ford","mustang","västra götaland",539900
1650,2022,"suv",2,301,"vit","ford","mustang","östergötland",739900
1400,2022,"suv",2,301,"vit","ford","mustang","jönköping",539700
1485,2022,"suv",2,298,"röd","ford","mustang","västra götaland",539900
1553,2022,"suv",4,372,"vit","ford","mustang","kronoberg",763800
2800,2022,"suv",2,301,"röd","ford","mustang","södermanland",774700
2090,2022,"halvkombi",2,301,"orange","ford","mustang","jönköping",469900
5078,2018,"halvkombi",2,184,"röd","bmw","i3s","stockholm",218900
5055,2017,"halvkombi",2,170,"silver","bmw","i3","stockholm",199700
9476,2017,"halvkombi",2,170,"blå","bmw","i3","skåne",188900
8670,2017,"halvkombi",2,170,"vit","bmw","i3","skåne",188900
2109,2022,"suv",2,286,"svart","bmw","ix3","kronoberg",639800
9403,2019,"halvkombi",2,184,"svart","bmw","i3s","stockholm",221900
4427,2019,"halvkombi",2,170,"vit","bmw","i3","stockholm",219900
3077,2020,"halvkombi",2,170,"vit","bmw","i3","stockholm",217900
6544,2019,"halvkombi",2,184,"svart","bmw","i3s","stockholm",221900
2834,2020,"halvkombi",2,170,"vit","bmw","i3","stockholm",219900
6391,2019,"halvkombi",2,170,"svart","bmw","i3","stockholm",203900
5789,2019,"halvkombi",2,184,"brun","bmw","i3s","stockholm",219900
4690,2020,"halvkombi",2,184,"vit","bmw","i3s","stockholm",224900
6946,2018,"halvkombi",2,184,"röd","bmw","i3s","stockholm",183900
5881,2019,"halvkombi",2,184,"röd","bmw","i3s","stockholm",235900
1479,2022,"halvkombi",2,170,"vit","bmw","i3","stockholm",261900
4595,2020,"halvkombi",2,184,"grå","bmw","i3","stockholm",244900
5921,2018,"halvkombi",2,184,"blå","bmw","i3s","stockholm",219800
2018,2022,"halvkombi",2,184,"blå","bmw","i3s","stockholm",292900
2189,2022,"halvkombi",2,184,"grå","bmw","i3","stockholm",272900
5502,2017,"halvkombi",2,170,"svart","bmw","i3","västra götaland",204800
9096,2015,"halvkombi",2,170,"vit","bmw","i3","skåne",149800
3190,2023,"halvkombi",2,340,"vit","bmw","i4","jönköping",599800
2990,2020,"halvkombi",2,170,"vit","bmw","i3","jönköping",224900
1449,2023,"suv",4,272,"svart","bmw","ix1","kalmar",589900
2778,2022,"suv",4,327,"grå","bmw","ix","kalmar",759900
3150,2021,"suv",2,286,"silver","bmw","ix3","kalmar",559900
3133,2020,"halvkombi",2,170,"vit","bmw","i3","stockholm",228900
6224,2018,"halvkombi",2,184,"svart","bmw","i3s","skåne",209800
1700,2021,"halvkombi",2,184,"vit","bmw","i3s","södermanland",309900
9668,2018,"halvkombi",2,170,"blå","bmw","i3","västernorrland",179900
750,2024,"suv",4,272,"svart","bmw","ix1","kalmar",699800
890,2024,"suv",4,306,"grå","bmw","ix2","blekinge",719800
3940,2020,"halvkombi",2,170,"vit","bmw","i3","jönköping",219900
12220,2020,"suv",2,286,"vit","bmw","ix3","jönköping",439900
3865,2022,"suv",4,327,"svart","bmw","ix","kalmar",649800
6500,2022,"suv",4,327,"vit","bmw","ix","kalmar",629800
3555,2018,"halvkombi",2,170,"röd","bmw","i3","västmanland",208900
5918,2021,"halvkombi",2,184,"vit","bmw","i3s","stockholm",234900
2696,2021,"halvkombi",2,184,"vit","bmw","i3s","kalmar",369900
2231,2021,"halvkombi",2,184,"grå","bmw","i3s","västra götaland",329900
2082,2021,"halvkombi",2,184,"vit","bmw","i3s","kalmar",289800
4545,2022,"suv",4,327,"grå","bmw","ix","blekinge",697000
2651,2022,"halvkombi",2,170,"svart","bmw","i3","östergötland",288900
775,2024,"halvkombi",2,340,"grön","bmw","i4","västra götaland",678900
