"X","Miltal","Modellår","Hästkrafter","Län","Biltyp_halvkombi","Biltyp_kombi","Biltyp_sedan","Biltyp_suv","Drivning_2","Drivning_4","Färg_blå","Färg_brun","Färg_grå","Färg_grön","Färg_gul","Färg_ljusgrå","Färg_ljusgrön","Färg_mörkblå","Färg_mörkgrå","Färg_mörkgrön","Färg_orange","Färg_röd","Färg_silver","Färg_svart","Färg_vit","Pris..Y.","Märkell"
1,1491,2022,204,"kronoberg",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,349800,"hyundai_kona"
2,9800,2019,120,"västra götaland",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144000,"hyundai_ioniq"
3,6729,2020,408,"skåne",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,528900,"audi_e-tron"
4,1270,2022,136,"uppsala",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,259900,"hyundai_kona"
5,11748,2020,136,"örebro",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209800,"hyundai_ioniq"
6,4355,2020,408,"skåne",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,548900,"audi_e-tron"
7,6400,2022,204,"örebro",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319800,"hyundai_kona"
8,7400,2020,204,"örebro",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,274800,"hyundai_kona"
9,4998,2020,204,"örebro",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,289800,"hyundai_kona"
10,3525,2020,204,"örebro",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,289800,"hyundai_kona"
11,3990,2023,476,"blekinge",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,867000,"audi_e-tron"
12,9975,2019,204,"blekinge",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,237000,"hyundai_kona"
13,4045,2022,300,"kalmar",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,549900,"audi_q4"
14,5100,2021,218,"västra götaland",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459900,"hyundai_ioniq"
15,9100,2022,218,"jönköping",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,419900,"hyundai_ioniq"
16,4073,2021,408,"stockholm",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,534900,"audi_e-tron"
17,4277,2022,204,"stockholm",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478900,"audi_q4"
18,10500,2019,408,"skåne",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,409800,"audi_e-tron"
19,3520,2021,504,"västra götaland",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,719800,"audi_e-tron"
20,9162,2019,408,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,425900,"audi_e-tron"
21,3977,2022,408,"stockholm",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,626900,"audi_e-tron"
22,3411,2022,204,"stockholm",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,343900,"hyundai_kona"
23,2289,2022,218,"stockholm",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,439900,"hyundai_ioniq"
24,2732,2022,170,"stockholm",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,386900,"audi_q4"
25,5483,2021,408,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,494900,"audi_e-tron"
26,1638,2022,170,"stockholm",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,391900,"audi_q4"
27,3550,2021,408,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,497900,"audi_e-tron"
28,9188,2019,408,"stockholm",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,384900,"audi_e-tron"
29,7466,2019,120,"stockholm",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,185900,"hyundai_ioniq"
30,7735,2020,136,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,208900,"hyundai_ioniq"
31,7417,2020,408,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,414900,"audi_e-tron"
32,5425,2022,408,"stockholm",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620900,"audi_e-tron"
33,7052,2021,408,"stockholm",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,503900,"audi_e-tron"
34,2941,2022,408,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,628900,"audi_e-tron"
35,5244,2020,408,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,433900,"audi_e-tron"
36,5110,2020,136,"stockholm",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,199900,"hyundai_kona"
37,3478,2022,408,"stockholm",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,624900,"audi_e-tron"
38,5244,2022,300,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,504900,"audi_q4"
39,7367,2022,408,"stockholm",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,583900,"audi_e-tron"
40,2998,2023,204,"stockholm",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,474900,"audi_q4"
41,4373,2021,504,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,692900,"audi_e-tron"
42,1950,2022,204,"kalmar",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,379900,"hyundai_kona"
43,4232,2020,136,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,200000,"hyundai_ioniq"
44,8826,2020,408,"stockholm",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,479900,"audi_e-tron"
45,4000,2019,120,"örebro",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,199800,"hyundai_ioniq"
46,4200,2021,150,"skåne",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,189000,"nissan_leaf"
47,7880,2022,218,"örebro",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,279800,"nissan_leaf"
48,610,2023,150,"jönköping",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,298800,"nissan_leaf"
49,1500,2023,150,"västra götaland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,309900,"nissan_leaf"
50,673,2022,150,"östergötland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,219900,"nissan_leaf"
51,8227,214,109,"gotland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,109800,"nissan_leaf"
52,605,2023,150,"kronoberg",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,259800,"nissan_leaf"
53,800,2022,150,"halland",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,279800,"nissan_leaf"
54,3300,2022,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,184900,"nissan_leaf"
55,6600,2019,150,"norrbotten",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,179900,"nissan_leaf"
56,11333,2017,109,"skåne",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120000,"nissan_leaf"
57,14821,2018,150,"västmanland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,159700,"nissan_leaf"
58,1528,2022,150,"stockholm",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,238900,"nissan_leaf"
59,3234,2021,150,"östergötland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,198900,"nissan_leaf"
60,5892,2019,150,"skåne",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,197800,"nissan_leaf"
61,8491,2021,218,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,217900,"nissan_leaf"
62,8323,2018,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,159900,"nissan_leaf"
63,2149,2022,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,210900,"nissan_leaf"
64,8043,2021,218,"stockholm",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,221900,"nissan_leaf"
65,2826,2022,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,205900,"nissan_leaf"
66,2741,2022,150,"stockholm",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,205900,"nissan_leaf"
67,7385,2019,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,184900,"nissan_leaf"
68,4109,2022,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,189900,"nissan_leaf"
69,3158,2022,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,199900,"nissan_leaf"
70,3986,2021,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,181900,"nissan_leaf"
71,4085,2021,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,185900,"nissan_leaf"
72,1927,2022,218,"stockholm",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,290900,"nissan_leaf"
73,3998,2021,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,181900,"nissan_leaf"
74,3041,2021,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,178900,"nissan_leaf"
75,1504,2022,218,"stockholm",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,288900,"nissan_leaf"
76,6106,2019,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,176900,"nissan_leaf"
77,2720,2020,150,"jönköping",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,239900,"nissan_leaf"
78,15536,2020,218,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,199900,"nissan_leaf"
79,4468,2021,150,"kalmar",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,245000,"nissan_leaf"
80,9650,2016,109,"västra götaland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,128800,"nissan_leaf"
81,2570,2022,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,214900,"nissan_leaf"
82,2723,2016,109,"halland",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129000,"nissan_leaf"
83,2027,2020,150,"skåne",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,199900,"nissan_leaf"
84,567,2023,221,"västerbotten",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,499900,"nissan_ariya"
85,5310,2020,218,"jönköping",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254900,"nissan_leaf"
86,2955,2022,150,"södermanland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,209000,"nissan_leaf"
87,2078,2023,243,"stockholm",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,499900,"nissan_ariya"
88,3440,2021,150,"dalarna",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,209900,"nissan_leaf"
89,700,2023,243,"kalmar",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,599900,"nissan_ariya"
90,950,2023,243,"jönköping",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579800,"nissan_ariya"
91,4990,2020,313,"östergötland",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,415900,"audi_e-tron"
92,9208,2020,313,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,354900,"audi_e-tron"
93,5326,2022,408,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,594900,"audi_e-tron"
94,3438,2020,408,"västra götaland",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589800,"audi_e-tron"
95,4937,2020,313,"västra götaland",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,399800,"audi_e-tron"
96,500,2023,325,"jönköping",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,589900,"hyundai_ioniq"
97,900,2023,325,"jönköping",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,609900,"hyundai_ioniq"
98,7200,2019,204,"jönköping",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,259900,"hyundai_kona"
99,7213,2018,120,"uppsala",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,169400,"hyundai_ioniq"
100,2133,2021,204,"kronoberg",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,329800,"hyundai_kona"
101,8649,2017,120,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,177900,"hyundai_ioniq"
102,2952,2019,120,"västra götaland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,184000,"hyundai_ioniq"
103,2070,2021,204,"kalmar",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,334900,"hyundai_kona"
104,6900,2020,204,"jönköping",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,269900,"hyundai_kona"
105,4500,2020,313,"västra götaland",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,439000,"audi_e-tron"
106,8897,2022,218,"kronoberg",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419900,"hyundai_ioniq"
107,1554,2023,204,"skåne",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,549000,"audi_q4"
108,4000,2021,218,"jönköping",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459800,"hyundai_ioniq"
109,1700,2023,325,"jönköping",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,599900,"hyundai_ioniq"
110,588,2023,229,"västra götaland",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,549900,"hyundai_ioniq"
111,5937,2020,136,"östergötland",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,229000,"hyundai_ioniq"
112,1600,2023,325,"örebro",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609900,"hyundai_ioniq"
113,1600,2023,325,"örebro",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599900,"hyundai_ioniq"
114,1900,2023,325,"örebro",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,548900,"hyundai_ioniq"
115,700,2024,218,"jönköping",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,595200,"hyundai_kona"
116,1000,2023,325,"jönköping",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,660700,"hyundai_ioniq"
117,2600,2019,120,"blekinge",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,219900,"hyundai_ioniq"
118,2600,2021,408,"västra götaland",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,619000,"audi_e-tron"
119,5656,2019,120,"skåne",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184500,"hyundai_ioniq"
120,10283,2020,138,"västra götaland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,219900,"hyundai_ioniq"
121,10895,2021,408,"värmland",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,439500,"audi_e-tron"
122,500,2023,325,"jönköping",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,639800,"hyundai_ioniq"
123,800,2024,218,"kalmar",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,569900,"hyundai_kona"
124,1400,2023,300,"västra götaland",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,605000,"audi_q4"
125,2990,2023,325,"västra götaland",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634900,"hyundai_ioniq"
126,600,2023,325,"västra götaland",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,619900,"hyundai_ioniq"
127,3730,2020,408,"värmland",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,459500,"audi_e-tron"
128,600,2024,325,"kalmar",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639800,"hyundai_ioniq"
129,1000,2023,325,"kalmar",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,599900,"hyundai_ioniq"
130,1350,2023,325,"jönköping",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599900,"hyundai_ioniq"
131,500,2024,218,"kronoberg",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,595200,"hyundai_kona"
132,1290,2023,325,"jönköping",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,609900,"hyundai_ioniq"
