"X","Miltal","Modellår","Drivning","Hästkrafter","Färg","Län","Biltyp_halvkombi","Biltyp_kombi","Biltyp_sedan","Biltyp_suv","Pris..Y.","Märkell"
1,1491,2022,2,204,"grå","kronoberg",1,0,0,0,349800,"hyundai_kona"
2,9800,2019,2,120,"svart","västra götaland",0,0,1,0,144000,"hyundai_ioniq"
3,6729,2020,4,408,"svart","skåne",0,0,0,1,528900,"audi_e-tron"
4,1270,2022,2,136,"röd","uppsala",0,0,0,1,259900,"hyundai_kona"
5,11748,2020,2,136,"blå","örebro",1,0,0,0,209800,"hyundai_ioniq"
6,4355,2020,4,408,"svart","skåne",0,0,0,1,548900,"audi_e-tron"
7,6400,2022,2,204,"blå","örebro",0,0,0,1,319800,"hyundai_kona"
8,7400,2020,2,204,"grå","örebro",0,0,0,1,274800,"hyundai_kona"
9,4998,2020,2,204,"grå","örebro",0,0,0,1,289800,"hyundai_kona"
10,3525,2020,2,204,"röd","örebro",0,0,0,1,289800,"hyundai_kona"
11,3990,2023,4,476,"svart","blekinge",0,0,1,0,867000,"audi_e-tron"
12,9975,2019,2,204,"mörkgrå","blekinge",0,0,0,1,237000,"hyundai_kona"
13,4045,2022,4,300,"grå","kalmar",0,0,0,1,549900,"audi_q4"
14,5100,2021,2,218,"grå","västra götaland",0,0,1,0,459900,"hyundai_ioniq"
15,9100,2022,2,218,"svart","jönköping",0,0,0,1,419900,"hyundai_ioniq"
16,4073,2021,4,408,"grå","stockholm",0,0,0,1,534900,"audi_e-tron"
17,4277,2022,2,204,"blå","stockholm",0,0,0,1,478900,"audi_q4"
18,10500,2019,4,408,"svart","skåne",0,0,0,1,409800,"audi_e-tron"
19,3520,2021,4,504,"svart","västra götaland",0,0,0,1,719800,"audi_e-tron"
20,9162,2019,4,408,"svart","stockholm",0,0,0,1,425900,"audi_e-tron"
21,3977,2022,4,408,"grå","stockholm",0,0,0,1,626900,"audi_e-tron"
22,3411,2022,2,204,"brun","stockholm",0,0,0,1,343900,"hyundai_kona"
23,2289,2022,2,218,"grön","stockholm",0,0,0,1,439900,"hyundai_ioniq"
24,2732,2022,2,170,"svart","stockholm",0,0,0,1,386900,"audi_q4"
25,5483,2021,4,408,"svart","stockholm",0,0,0,1,494900,"audi_e-tron"
26,1638,2022,2,170,"grå","stockholm",0,0,0,1,391900,"audi_q4"
27,3550,2021,4,408,"svart","stockholm",0,0,0,1,497900,"audi_e-tron"
28,9188,2019,4,408,"grå","stockholm",0,0,0,1,384900,"audi_e-tron"
29,7466,2019,2,120,"ljusgrå","stockholm",1,0,0,0,185900,"hyundai_ioniq"
30,7735,2020,2,136,"vit","stockholm",1,0,0,0,208900,"hyundai_ioniq"
31,7417,2020,4,408,"svart","stockholm",0,0,0,1,414900,"audi_e-tron"
32,5425,2022,4,408,"blå","stockholm",0,0,0,1,620900,"audi_e-tron"
33,7052,2021,4,408,"grå","stockholm",0,0,0,1,503900,"audi_e-tron"
34,2941,2022,4,408,"vit","stockholm",0,0,0,1,628900,"audi_e-tron"
35,5244,2020,4,408,"svart","stockholm",0,0,0,1,433900,"audi_e-tron"
36,5110,2020,2,136,"vit","stockholm",0,0,0,1,199900,"hyundai_kona"
37,3478,2022,4,408,"grå","stockholm",0,0,0,1,624900,"audi_e-tron"
38,5244,2022,4,300,"svart","stockholm",0,0,0,1,504900,"audi_q4"
39,7367,2022,4,408,"grå","stockholm",0,0,0,1,583900,"audi_e-tron"
40,2998,2023,2,204,"grå","stockholm",0,0,0,1,474900,"audi_q4"
41,4373,2021,4,504,"silver","stockholm",0,0,0,1,692900,"audi_e-tron"
42,1950,2022,2,204,"svart","kalmar",0,0,0,1,379900,"hyundai_kona"
43,4232,2020,2,136,"röd","stockholm",1,0,0,0,200000,"hyundai_ioniq"
44,8826,2020,4,408,"grå","stockholm",0,0,0,1,479900,"audi_e-tron"
45,4000,2019,2,120,"grå","örebro",1,0,0,0,199800,"hyundai_ioniq"
46,4200,2021,2,150,"svart","skåne",1,0,0,0,189000,"nissan_leaf"
47,7880,2022,2,218,"vit","örebro",1,0,0,0,279800,"nissan_leaf"
48,610,2023,2,150,"mörkblå","jönköping",1,0,0,0,298800,"nissan_leaf"
49,1500,2023,2,150,"vit","västra götaland",1,0,0,0,309900,"nissan_leaf"
50,673,2022,2,150,"vit","östergötland",1,0,0,0,219900,"nissan_leaf"
51,8227,214,2,109,"silver","gotland",1,0,0,0,109800,"nissan_leaf"
52,605,2023,2,150,"mörkblå","kronoberg",1,0,0,0,259800,"nissan_leaf"
53,800,2022,2,150,"mörkblå","halland",1,0,0,0,279800,"nissan_leaf"
54,3300,2022,2,150,"vit","stockholm",1,0,0,0,184900,"nissan_leaf"
55,6600,2019,2,150,"vit","norrbotten",1,0,0,0,179900,"nissan_leaf"
56,11333,2017,2,109,"vit","skåne",1,0,0,0,120000,"nissan_leaf"
57,14821,2018,2,150,"röd","västmanland",1,0,0,0,159700,"nissan_leaf"
58,1528,2022,2,150,"grå","stockholm",1,0,0,0,238900,"nissan_leaf"
59,3234,2021,2,150,"vit","östergötland",1,0,0,0,198900,"nissan_leaf"
60,5892,2019,2,150,"vit","skåne",1,0,0,0,197800,"nissan_leaf"
61,8491,2021,2,218,"röd","stockholm",1,0,0,0,217900,"nissan_leaf"
62,8323,2018,2,150,"röd","stockholm",1,0,0,0,159900,"nissan_leaf"
63,2149,2022,2,150,"ljusgrå","stockholm",1,0,0,0,210900,"nissan_leaf"
64,8043,2021,2,218,"grå","stockholm",1,0,0,0,221900,"nissan_leaf"
65,2826,2022,2,150,"röd","stockholm",1,0,0,0,205900,"nissan_leaf"
66,2741,2022,2,150,"grå","stockholm",1,0,0,0,205900,"nissan_leaf"
67,7385,2019,2,150,"ljusgrön","stockholm",1,0,0,0,184900,"nissan_leaf"
68,4109,2022,2,150,"vit","stockholm",1,0,0,0,189900,"nissan_leaf"
69,3158,2022,2,150,"vit","stockholm",1,0,0,0,199900,"nissan_leaf"
70,3986,2021,2,150,"vit","stockholm",1,0,0,0,181900,"nissan_leaf"
71,4085,2021,2,150,"röd","stockholm",1,0,0,0,185900,"nissan_leaf"
72,1927,2022,2,218,"grå","stockholm",1,0,0,0,290900,"nissan_leaf"
73,3998,2021,2,150,"vit","stockholm",1,0,0,0,181900,"nissan_leaf"
74,3041,2021,2,150,"vit","stockholm",1,0,0,0,178900,"nissan_leaf"
75,1504,2022,2,218,"grå","stockholm",1,0,0,0,288900,"nissan_leaf"
76,6106,2019,2,150,"vit","stockholm",1,0,0,0,176900,"nissan_leaf"
77,2720,2020,2,150,"brun","jönköping",1,0,0,0,239900,"nissan_leaf"
78,15536,2020,2,218,"mörkgrå","stockholm",1,0,0,0,199900,"nissan_leaf"
79,4468,2021,2,150,"svart","kalmar",1,0,0,0,245000,"nissan_leaf"
80,9650,2016,2,109,"svart","västra götaland",1,0,0,0,128800,"nissan_leaf"
81,2570,2022,2,150,"ljusgrå","stockholm",1,0,0,0,214900,"nissan_leaf"
82,2723,2016,2,109,"brun","halland",1,0,0,0,129000,"nissan_leaf"
83,2027,2020,2,150,"röd","skåne",1,0,0,0,199900,"nissan_leaf"
84,567,2023,2,221,"mörkgrön","västerbotten",0,0,0,1,499900,"nissan_ariya"
85,5310,2020,2,218,"vit","jönköping",1,0,0,0,254900,"nissan_leaf"
86,2955,2022,2,150,"vit","södermanland",1,0,0,0,209000,"nissan_leaf"
87,2078,2023,2,243,"svart","stockholm",0,0,0,1,499900,"nissan_ariya"
88,3440,2021,2,150,"röd","dalarna",1,0,0,0,209900,"nissan_leaf"
89,700,2023,2,243,"ljusgrå","kalmar",0,0,0,1,599900,"nissan_ariya"
90,950,2023,2,243,"blå","jönköping",0,0,0,1,579800,"nissan_ariya"
91,4990,2020,4,313,"grå","östergötland",0,0,0,1,415900,"audi_e-tron"
92,9208,2020,4,313,"svart","stockholm",0,0,0,1,354900,"audi_e-tron"
93,5326,2022,4,408,"silver","stockholm",0,0,0,1,594900,"audi_e-tron"
94,3438,2020,4,408,"blå","västra götaland",0,0,0,1,589800,"audi_e-tron"
95,4937,2020,4,313,"svart","västra götaland",0,0,0,1,399800,"audi_e-tron"
96,500,2023,2,325,"röd","jönköping",0,0,1,0,589900,"hyundai_ioniq"
97,900,2023,4,325,"grå","jönköping",0,0,1,0,609900,"hyundai_ioniq"
98,7200,2019,2,204,"orange","jönköping",1,0,0,0,259900,"hyundai_kona"
99,7213,2018,2,120,"mörkblå","uppsala",1,0,0,0,169400,"hyundai_ioniq"
100,2133,2021,2,204,"vit","kronoberg",1,0,0,0,329800,"hyundai_kona"
101,8649,2017,2,120,"silver","stockholm",1,0,0,0,177900,"hyundai_ioniq"
102,2952,2019,2,120,"silver","västra götaland",1,0,0,0,184000,"hyundai_ioniq"
103,2070,2021,2,204,"röd","kalmar",1,0,0,0,334900,"hyundai_kona"
104,6900,2020,2,204,"vit","jönköping",0,0,0,1,269900,"hyundai_kona"
105,4500,2020,4,313,"svart","västra götaland",0,0,0,1,439000,"audi_e-tron"
106,8897,2022,2,218,"vit","kronoberg",0,0,0,1,419900,"hyundai_ioniq"
107,1554,2023,2,204,"grå","skåne",0,0,0,1,549000,"audi_q4"
108,4000,2021,2,218,"grå","jönköping",1,0,0,0,459800,"hyundai_ioniq"
109,1700,2023,4,325,"vit","jönköping",0,0,1,0,599900,"hyundai_ioniq"
110,588,2023,2,229,"grön","västra götaland",0,0,0,1,549900,"hyundai_ioniq"
111,5937,2020,2,136,"grå","östergötland",1,0,0,0,229000,"hyundai_ioniq"
112,1600,2023,4,325,"blå","örebro",0,0,1,0,609900,"hyundai_ioniq"
113,1600,2023,4,325,"blå","örebro",0,0,1,0,599900,"hyundai_ioniq"
114,1900,2023,4,325,"grå","örebro",0,0,0,1,548900,"hyundai_ioniq"
115,700,2024,2,218,"grå","jönköping",0,0,0,1,595200,"hyundai_kona"
116,1000,2023,4,325,"svart","jönköping",0,0,1,0,660700,"hyundai_ioniq"
117,2600,2019,2,120,"vit","blekinge",1,0,0,0,219900,"hyundai_ioniq"
118,2600,2021,4,408,"röd","västra götaland",0,0,0,1,619000,"audi_e-tron"
119,5656,2019,2,120,"blå","skåne",1,0,0,0,184500,"hyundai_ioniq"
120,10283,2020,2,138,"vit","västra götaland",1,0,0,0,219900,"hyundai_ioniq"
121,10895,2021,4,408,"svart","värmland",0,0,0,1,439500,"audi_e-tron"
122,500,2023,2,325,"svart","jönköping",0,0,1,0,639800,"hyundai_ioniq"
123,800,2024,2,218,"grå","kalmar",0,0,0,1,569900,"hyundai_kona"
124,1400,2023,4,300,"svart","västra götaland",0,0,0,1,605000,"audi_q4"
125,2990,2023,4,325,"grå","västra götaland",0,0,1,0,634900,"hyundai_ioniq"
126,600,2023,4,325,"grå","västra götaland",1,0,0,0,619900,"hyundai_ioniq"
127,3730,2020,4,408,"svart","värmland",0,0,0,1,459500,"audi_e-tron"
128,600,2024,4,325,"blå","kalmar",0,0,1,0,639800,"hyundai_ioniq"
129,1000,2023,4,325,"vit","kalmar",0,0,1,0,599900,"hyundai_ioniq"
130,1350,2023,4,325,"blå","jönköping",0,0,1,0,599900,"hyundai_ioniq"
131,500,2024,2,218,"grå","kronoberg",0,0,0,1,595200,"hyundai_kona"
132,1290,2023,4,325,"vit","jönköping",0,0,1,0,609900,"hyundai_ioniq"
133,9900,2020,2,204,"vit","västra götaland",0,0,0,1,259900,"hyundai_kona"
134,800,2024,2,218,"vit","västra götaland",0,0,0,1,549900,"hyundai_kona"
135,1500,2023,4,325,"blå","västra götaland",0,0,1,0,599900,"hyundai_ioniq"
136,800,2023,2,325,"gul","blekinge",0,0,0,1,639800,"hyundai_ioniq"
137,600,2023,4,325,"grå","kronoberg",1,0,0,0,599900,"hyundai_ioniq"
138,850,2023,4,325,"blå","blekinge",0,0,1,0,599900,"hyundai_ioniq"
139,3000,2020,2,120,"vit","skåne",1,0,0,0,229900,"hyundai_ioniq"
140,3683,2022,4,300,"mörkgrå","stockholm",0,0,0,1,457900,"volkswagen_id.4"
141,4423,2021,2,204,"vit","stockholm",0,0,0,1,390900,"volkswagen_id.4"
142,2350,2021,2,204,"mörkgrå","skåne",0,0,0,1,449900,"volkswagen_id.4"
143,2207,2022,4,300,"mörkgrå","stockholm",0,0,0,1,494900,"volkswagen_id.4"
144,2789,2016,2,82,"vit","västerbotten",1,0,0,0,129900,"volkswagen_e-up!"
145,7700,2015,2,82,"silver","västra götaland",1,0,0,0,89000,"volkswagen_e-up!"
146,4478,2020,2,83,"gul","stockholm",1,0,0,0,153900,"volkswagen_e-up!"
147,9471,2020,2,83,"vit","stockholm",1,0,0,0,144900,"volkswagen_e-up!"
148,3438,2022,4,300,"vit","stockholm",0,0,0,1,449900,"volkswagen_id.4"
149,3820,2020,2,204,"vit","stockholm",1,0,0,0,304900,"volkswagen_id.3"
150,2143,2022,4,300,"vit","stockholm",0,0,0,1,455900,"volkswagen_id.4"
151,3253,2021,2,204,"mörkgrå","stockholm",1,0,0,0,278900,"volkswagen_id.3"
152,5500,2021,2,204,"mörkgrå","stockholm",1,0,0,0,351900,"volkswagen_id.3"
153,4969,2021,2,204,"mörkgrå","stockholm",0,0,0,1,379900,"volkswagen_id.4"
154,4431,2021,2,170,"grå","stockholm",0,0,0,1,324900,"volkswagen_id.4"
155,4979,2021,2,204,"blå","stockholm",0,0,0,1,390900,"volkswagen_id.4"
156,2967,2022,4,300,"silver","stockholm",0,0,0,1,458900,"volkswagen_id.5"
157,4878,2018,2,136,"vit","stockholm",1,0,0,0,189900,"volkswagen_e-golf"
158,2969,2021,2,170,"grå","stockholm",0,0,0,1,339900,"volkswagen_id.4"
159,5659,2021,2,204,"blå","stockholm",0,0,0,1,368900,"volkswagen_id.4"
160,4388,2020,2,136,"vit","stockholm",1,0,0,0,211900,"volkswagen_e-golf"
161,2226,2020,2,83,"vit","västra götaland",1,0,0,0,140000,"volkswagen_e-up!"
162,1700,2020,2,83,"vit","blekinge",1,0,0,0,189900,"volkswagen_e-up!"
163,2008,2020,2,83,"vit","blekinge",1,0,0,0,179900,"volkswagen_e-up!"
164,6231,2021,2,204,"vit","stockholm",0,0,0,1,407900,"volkswagen_id.4"
165,5800,2018,2,136,"svart","västmanland",1,0,0,0,209900,"volkswagen_e-golf"
166,8200,2014,2,82,"silver","stockholm",1,0,0,0,119900,"volkswagen_e-up!"
167,6200,2017,2,82,"vit","blekinge",1,0,0,0,139000,"volkswagen_e-up!"
168,11865,2019,2,136,"vit","norrbotten",1,0,0,0,199900,"volkswagen_e-golf"
169,5211,2018,2,136,"vit","västra götaland",1,0,0,0,179800,"volkswagen_e-golf"
170,6624,2019,2,136,"vit","västra götaland",1,0,0,0,184800,"volkswagen_e-golf"
171,5329,2018,2,136,"vit","västra götaland",1,0,0,0,189900,"volkswagen_e-golf"
172,4491,2022,2,204,"mörkgrå","stockholm",0,0,0,1,449900,"volkswagen_id.4"
173,2923,2020,2,136,"vit","västerbotten",1,0,0,0,239000,"volkswagen_e-golf"
174,4315,2020,2,83,"silver","dalarna",1,0,0,0,169900,"volkswagen_e-up!"
175,9082,2021,2,204,"grå","västmanland",1,0,0,0,239000,"volkswagen_id.3"
176,10135,2021,2,204,"blå","värmland",0,0,0,1,329500,"volkswagen_id.4"
177,2787,2021,2,204,"grå","södermanland",1,0,0,0,274800,"volkswagen_id.3"
178,1700,2023,2,204,"grå","västra götaland",0,0,0,1,419900,"volkswagen_id.4"
179,5843,2020,2,207,"röd","stockholm",1,0,0,0,388800,"volkswagen_id.3"
180,3000,2021,2,204,"vit","södermanland",1,0,0,0,307000,"volkswagen_id.3"
181,1560,2023,2,207,"blå","västra götaland",0,0,0,1,439900,"volkswagen_id.4"
182,4530,2021,2,204,"gul","stockholm",0,0,0,1,378900,"volkswagen_id.4"
183,5400,2022,4,300,"blå","norrbotten",0,0,0,1,549900,"volkswagen_id.4"
184,1500,2023,4,300,"svart","södermanland",0,0,0,1,549000,"volkswagen_id.4"
185,1740,2022,4,300,"grå","södermanland",0,0,0,1,467500,"volkswagen_id.4"
186,2940,2022,4,300,"vit","uppsala",0,0,0,1,484900,"volkswagen_id.4"
187,1045,2023,4,304,"svart","västra götaland",0,0,0,1,549900,"volkswagen_id.4"
188,3229,2022,4,498,"vit","stockholm",0,0,1,0,484900,"tesla_3"
189,2723,2021,4,441,"svart","stockholm",0,0,1,0,434900,"tesla_3"
190,10500,2019,4,423,"grå","skåne",0,0,0,1,549900,"tesla_x"
191,6315,2021,4,446,"grå","västra götaland",0,0,1,0,438400,"tesla_3"
192,5902,2021,4,441,"vit","norrbotten",0,0,1,0,448500,"tesla_3"
193,8183,2020,4,491,"vit","stockholm",0,0,1,0,365900,"tesla_3"
194,7234,2021,4,441,"vit","västmanland",0,0,1,0,399800,"tesla_3"
195,5200,2022,4,498,"blå","kalmar",0,0,1,0,459700,"tesla_3"
196,3899,2020,4,510,"vit","skåne",0,0,1,0,410900,"tesla_3"
