"Miltal","Modellår","Biltyp","Drivning","Hästkrafter","Färg","Län","Pris..Y.","Märkell"
"1491","2022","halvkombi","2","204","grå","kronoberg","349800","hyundai_kona"
"9800","2019","sedan","2","120","svart","västra götaland","144000","hyundai_ioniq"
"6729","2020","suv","4","408","svart","skåne","528900","audi_e-tron"
"1270","2022","suv","2","136","röd","uppsala","259900","hyundai_kona"
"11748","2020","halvkombi","2","136","blå","örebro","209800","hyundai_ioniq"
"4355","2020","suv","4","408","svart","skåne","548900","audi_e-tron"
"6400","2022","suv","2","204","blå","örebro","319800","hyundai_kona"
"7400","2020","suv","2","204","grå","örebro","274800","hyundai_kona"
"4998","2020","suv","2","204","grå","örebro","289800","hyundai_kona"
"3525","2020","suv","2","204","röd","örebro","289800","hyundai_kona"
"3990","2023","sedan","4","476","svart","blekinge","867000","audi_e-tron"
"9975","2019","suv","2","204","mörkgrå","blekinge","237000","hyundai_kona"
"4045","2022","suv","4","300","grå","kalmar","549900","audi_q4"
"5100","2021","sedan","2","218","grå","västra götaland","459900","hyundai_ioniq"
"9100","2022","suv","2","218","svart","jönköping","419900","hyundai_ioniq"
"4073","2021","suv","4","408","grå","stockholm","534900","audi_e-tron"
"4277","2022","suv","2","204","blå","stockholm","478900","audi_q4"
"10500","2019","suv","4","408","svart","skåne","409800","audi_e-tron"
"3520","2021","suv","4","504","svart","västra götaland","719800","audi_e-tron"
"9162","2019","suv","4","408","svart","stockholm","425900","audi_e-tron"
"3977","2022","suv","4","408","grå","stockholm","626900","audi_e-tron"
"3411","2022","suv","2","204","brun","stockholm","343900","hyundai_kona"
"2289","2022","suv","2","218","grön","stockholm","439900","hyundai_ioniq"
"2732","2022","suv","2","170","svart","stockholm","386900","audi_q4"
"5483","2021","suv","4","408","svart","stockholm","494900","audi_e-tron"
"1638","2022","suv","2","170","grå","stockholm","391900","audi_q4"
"3550","2021","suv","4","408","svart","stockholm","497900","audi_e-tron"
"9188","2019","suv","4","408","grå","stockholm","384900","audi_e-tron"
"7466","2019","halvkombi","2","120","ljusgrå","stockholm","185900","hyundai_ioniq"
"7735","2020","halvkombi","2","136","vit","stockholm","208900","hyundai_ioniq"
"7417","2020","suv","4","408","svart","stockholm","414900","audi_e-tron"
"5425","2022","suv","4","408","blå","stockholm","620900","audi_e-tron"
"7052","2021","suv","4","408","grå","stockholm","503900","audi_e-tron"
"2941","2022","suv","4","408","vit","stockholm","628900","audi_e-tron"
"5244","2020","suv","4","408","svart","stockholm","433900","audi_e-tron"
"5110","2020","suv","2","136","vit","stockholm","199900","hyundai_kona"
"3478","2022","suv","4","408","grå","stockholm","624900","audi_e-tron"
"5244","2022","suv","4","300","svart","stockholm","504900","audi_q4"
"7367","2022","suv","4","408","grå","stockholm","583900","audi_e-tron"
"2998","2023","suv","2","204","grå","stockholm","474900","audi_q4"
"4373","2021","suv","4","504","silver","stockholm","692900","audi_e-tron"
"1950","2022","suv","2","204","svart","kalmar","379900","hyundai_kona"
"4232","2020","halvkombi","2","136","röd","stockholm","200000","hyundai_ioniq"
"8826","2020","suv","4","408","grå","stockholm","479900","audi_e-tron"
"4000","2019","halvkombi","2","120","grå","örebro","199800","hyundai_ioniq"
"4200","2021","halvkombi","2","150","svart","skåne","189000","nissan_leaf"
"7880","2022","halvkombi","2","218","vit","örebro","279800","nissan_leaf"
"610","2023","halvkombi","2","150","mörkblå","jönköping","298800","nissan_leaf"
"1500","2023","halvkombi","2","150","vit","västra götaland","309900","nissan_leaf"
"673","2022","halvkombi","2","150","vit","östergötland","219900","nissan_leaf"
"8227","214","halvkombi","2","109","silver","gotland","109800","nissan_leaf"
"605","2023","halvkombi","2","150","mörkblå","kronoberg","259800","nissan_leaf"
"800","2022","halvkombi","2","150","mörkblå","halland","279800","nissan_leaf"
"3300","2022","halvkombi","2","150","vit","stockholm","184900","nissan_leaf"
"6600","2019","halvkombi","2","150","vit","norrbotten","179900","nissan_leaf"
"11333","2017","halvkombi","2","109","vit","skåne","120000","nissan_leaf"
"14821","2018","halvkombi","2","150","röd","västmanland","159700","nissan_leaf"
"1528","2022","halvkombi","2","150","grå","stockholm","238900","nissan_leaf"
"3234","2021","halvkombi","2","150","vit","östergötland","198900","nissan_leaf"
"5892","2019","halvkombi","2","150","vit","skåne","197800","nissan_leaf"
"8491","2021","halvkombi","2","218","röd","stockholm","217900","nissan_leaf"
"8323","2018","halvkombi","2","150","röd","stockholm","159900","nissan_leaf"
"2149","2022","halvkombi","2","150","ljusgrå","stockholm","210900","nissan_leaf"
"8043","2021","halvkombi","2","218","grå","stockholm","221900","nissan_leaf"
"2826","2022","halvkombi","2","150","röd","stockholm","205900","nissan_leaf"
"2741","2022","halvkombi","2","150","grå","stockholm","205900","nissan_leaf"
"7385","2019","halvkombi","2","150","ljusgrön","stockholm","184900","nissan_leaf"
"4109","2022","halvkombi","2","150","vit","stockholm","189900","nissan_leaf"
"3158","2022","halvkombi","2","150","vit","stockholm","199900","nissan_leaf"
"3986","2021","halvkombi","2","150","vit","stockholm","181900","nissan_leaf"
"4085","2021","halvkombi","2","150","röd","stockholm","185900","nissan_leaf"
"1927","2022","halvkombi","2","218","grå","stockholm","290900","nissan_leaf"
"3998","2021","halvkombi","2","150","vit","stockholm","181900","nissan_leaf"
"3041","2021","halvkombi","2","150","vit","stockholm","178900","nissan_leaf"
"1504","2022","halvkombi","2","218","grå","stockholm","288900","nissan_leaf"
"6106","2019","halvkombi","2","150","vit","stockholm","176900","nissan_leaf"
"2720","2020","halvkombi","2","150","brun","jönköping","239900","nissan_leaf"
"15536","2020","halvkombi","2","218","mörkgrå","stockholm","199900","nissan_leaf"
"4468","2021","halvkombi","2","150","svart","kalmar","245000","nissan_leaf"
"9650","2016","halvkombi","2","109","svart","västra götaland","128800","nissan_leaf"
"2570","2022","halvkombi","2","150","ljusgrå","stockholm","214900","nissan_leaf"
"2723","2016","halvkombi","2","109","brun","halland","129000","nissan_leaf"
"2027","2020","halvkombi","2","150","röd","skåne","199900","nissan_leaf"
"567","2023","suv","2","221","mörkgrön","västerbotten","499900","nissan_ariya"
"5310","2020","halvkombi","2","218","vit","jönköping","254900","nissan_leaf"
"2955","2022","halvkombi","2","150","vit","södermanland","209000","nissan_leaf"
"2078","2023","suv","2","243","svart","stockholm","499900","nissan_ariya"
"3440","2021","halvkombi","2","150","röd","dalarna","209900","nissan_leaf"
"700","2023","suv","2","243","ljusgrå","kalmar","599900","nissan_ariya"
"950","2023","suv","2","243","blå","jönköping","579800","nissan_ariya"
"4990","2020","suv","4","313","grå","östergötland","415900","audi_e-tron"
"9208","2020","suv","4","313","svart","stockholm","354900","audi_e-tron"
"5326","2022","suv","4","408","silver","stockholm","594900","audi_e-tron"
"3438","2020","suv","4","408","blå","västra götaland","589800","audi_e-tron"
"4937","2020","suv","4","313","svart","västra götaland","399800","audi_e-tron"
"500","2023","sedan","2","325","röd","jönköping","589900","hyundai_ioniq"
"900","2023","sedan","4","325","grå","jönköping","609900","hyundai_ioniq"
"7200","2019","halvkombi","2","204","orange","jönköping","259900","hyundai_kona"
"7213","2018","halvkombi","2","120","mörkblå","uppsala","169400","hyundai_ioniq"
"2133","2021","halvkombi","2","204","vit","kronoberg","329800","hyundai_kona"
"8649","2017","halvkombi","2","120","silver","stockholm","177900","hyundai_ioniq"
"2952","2019","halvkombi","2","120","silver","västra götaland","184000","hyundai_ioniq"
"2070","2021","halvkombi","2","204","röd","kalmar","334900","hyundai_kona"
"6900","2020","suv","2","204","vit","jönköping","269900","hyundai_kona"
"4500","2020","suv","4","313","svart","västra götaland","439000","audi_e-tron"
"8897","2022","suv","2","218","vit","kronoberg","419900","hyundai_ioniq"
"1554","2023","suv","2","204","grå","skåne","549000","audi_q4"
"4000","2021","halvkombi","2","218","grå","jönköping","459800","hyundai_ioniq"
"1700","2023","sedan","4","325","vit","jönköping","599900","hyundai_ioniq"
"588","2023","suv","2","229","grön","västra götaland","549900","hyundai_ioniq"
"5937","2020","halvkombi","2","136","grå","östergötland","229000","hyundai_ioniq"
"1600","2023","sedan","4","325","blå","örebro","609900","hyundai_ioniq"
"1600","2023","sedan","4","325","blå","örebro","599900","hyundai_ioniq"
"1900","2023","suv","4","325","grå","örebro","548900","hyundai_ioniq"
"700","2024","suv","2","218","grå","jönköping","595200","hyundai_kona"
"1000","2023","sedan","4","325","svart","jönköping","660700","hyundai_ioniq"
"2600","2019","halvkombi","2","120","vit","blekinge","219900","hyundai_ioniq"
"2600","2021","suv","4","408","röd","västra götaland","619000","audi_e-tron"
"5656","2019","halvkombi","2","120","blå","skåne","184500","hyundai_ioniq"
"10283","2020","halvkombi","2","138","vit","västra götaland","219900","hyundai_ioniq"
"10895","2021","suv","4","408","svart","värmland","439500","audi_e-tron"
"500","2023","sedan","2","325","svart","jönköping","639800","hyundai_ioniq"
"800","2024","suv","2","218","grå","kalmar","569900","hyundai_kona"
"1400","2023","suv","4","300","svart","västra götaland","605000","audi_q4"
"2990","2023","sedan","4","325","grå","västra götaland","634900","hyundai_ioniq"
"600","2023","halvkombi","4","325","grå","västra götaland","619900","hyundai_ioniq"
"3730","2020","suv","4","408","svart","värmland","459500","audi_e-tron"
"600","2024","sedan","4","325","blå","kalmar","639800","hyundai_ioniq"
"1000","2023","sedan","4","325","vit","kalmar","599900","hyundai_ioniq"
"1350","2023","sedan","4","325","blå","jönköping","599900","hyundai_ioniq"
"500","2024","suv","2","218","grå","kronoberg","595200","hyundai_kona"
"1290","2023","sedan","4","325","vit","jönköping","609900","hyundai_ioniq"
"9900","2020","suv","2","204","vit","västra götaland","259900","hyundai_kona"
"800","2024","suv","2","218","vit","västra götaland","549900","hyundai_kona"
"1500","2023","sedan","4","325","blå","västra götaland","599900","hyundai_ioniq"
"800","2023","suv","2","325","gul","blekinge","639800","hyundai_ioniq"
"600","2023","halvkombi","4","325","grå","kronoberg","599900","hyundai_ioniq"
"850","2023","sedan","4","325","blå","blekinge","599900","hyundai_ioniq"
"3000","2020","halvkombi","2","120","vit","skåne","229900","hyundai_ioniq"
"3683","2022","suv","4","300","mörkgrå","stockholm","457900","volkswagen_id.4"
"4423","2021","suv","2","204","vit","stockholm","390900","volkswagen_id.4"
"2350","2021","suv","2","204","mörkgrå","skåne","449900","volkswagen_id.4"
"2207","2022","suv","4","300","mörkgrå","stockholm","494900","volkswagen_id.4"
"2789","2016","halvkombi","2","82","vit","västerbotten","129900","volkswagen_e-up!"
"7700","2015","halvkombi","2","82","silver","västra götaland","89000","volkswagen_e-up!"
"4478","2020","halvkombi","2","83","gul","stockholm","153900","volkswagen_e-up!"
"9471","2020","halvkombi","2","83","vit","stockholm","144900","volkswagen_e-up!"
"3438","2022","suv","4","300","vit","stockholm","449900","volkswagen_id.4"
"3820","2020","halvkombi","2","204","vit","stockholm","304900","volkswagen_id.3"
"2143","2022","suv","4","300","vit","stockholm","455900","volkswagen_id.4"
"3253","2021","halvkombi","2","204","mörkgrå","stockholm","278900","volkswagen_id.3"
"5500","2021","halvkombi","2","204","mörkgrå","stockholm","351900","volkswagen_id.3"
"4969","2021","suv","2","204","mörkgrå","stockholm","379900","volkswagen_id.4"
"4431","2021","suv","2","170","grå","stockholm","324900","volkswagen_id.4"
"4979","2021","suv","2","204","blå","stockholm","390900","volkswagen_id.4"
"2967","2022","suv","4","300","silver","stockholm","458900","volkswagen_id.5"
"4878","2018","halvkombi","2","136","vit","stockholm","189900","volkswagen_e-golf"
"2969","2021","suv","2","170","grå","stockholm","339900","volkswagen_id.4"
"5659","2021","suv","2","204","blå","stockholm","368900","volkswagen_id.4"
"4388","2020","halvkombi","2","136","vit","stockholm","211900","volkswagen_e-golf"
"2226","2020","halvkombi","2","83","vit","västra götaland","140000","volkswagen_e-up!"
"1700","2020","halvkombi","2","83","vit","blekinge","189900","volkswagen_e-up!"
"2008","2020","halvkombi","2","83","vit","blekinge","179900","volkswagen_e-up!"
"6231","2021","suv","2","204","vit","stockholm","407900","volkswagen_id.4"
"5800","2018","halvkombi","2","136","svart","västmanland","209900","volkswagen_e-golf"
"8200","2014","halvkombi","2","82","silver","stockholm","119900","volkswagen_e-up!"
"6200","2017","halvkombi","2","82","vit","blekinge","139000","volkswagen_e-up!"
"11865","2019","halvkombi","2","136","vit","norrbotten","199900","volkswagen_e-golf"
"5211","2018","halvkombi","2","136","vit","västra götaland","179800","volkswagen_e-golf"
"6624","2019","halvkombi","2","136","vit","västra götaland","184800","volkswagen_e-golf"
"5329","2018","halvkombi","2","136","vit","västra götaland","189900","volkswagen_e-golf"
"4491","2022","suv","2","204","mörkgrå","stockholm","449900","volkswagen_id.4"
"2923","2020","halvkombi","2","136","vit","västerbotten","239000","volkswagen_e-golf"
"4315","2020","halvkombi","2","83","silver","dalarna","169900","volkswagen_e-up!"
"9082","2021","halvkombi","2","204","grå","västmanland","239000","volkswagen_id.3"
"10135","2021","suv","2","204","blå","värmland","329500","volkswagen_id.4"
"2787","2021","halvkombi","2","204","grå","södermanland","274800","volkswagen_id.3"
"1700","2023","suv","2","204","grå","västra götaland","419900","volkswagen_id.4"
"5843","2020","halvkombi","2","207","röd","stockholm","388800","volkswagen_id.3"
"3000","2021","halvkombi","2","204","vit","södermanland","307000","volkswagen_id.3"
"1560","2023","suv","2","207","blå","västra götaland","439900","volkswagen_id.4"
"4530","2021","suv","2","204","gul","stockholm","378900","volkswagen_id.4"
"5400","2022","suv","4","300","blå","norrbotten","549900","volkswagen_id.4"
"1500","2023","suv","4","300","svart","södermanland","549000","volkswagen_id.4"
"1740","2022","suv","4","300","grå","södermanland","467500","volkswagen_id.4"
"2940","2022","suv","4","300","vit","uppsala","484900","volkswagen_id.4"
"1045","2023","suv","4","304","svart","västra götaland","549900","volkswagen_id.4"
"3229","2022","sedan","4","498","vit","stockholm","484900","tesla_3"
"2723","2021","sedan","4","441","svart","stockholm","434900","tesla_3"
"10500","2019","suv","4","423","grå","skåne","549900","tesla_x"
"6315","2021","sedan","4","446","grå","västra götaland","438400","tesla_3"
"5902","2021","sedan","4","441","vit","norrbotten","448500","tesla_3"
"8183","2020","sedan","4","491","vit","stockholm","365900","tesla_3"
"7234","2021","sedan","4","441","vit","västmanland","399800","tesla_3"
"5200","2022","sedan","4","498","blå","kalmar","459700","tesla_3"
